Nom,Link,Pagina,Imatge,Dificultat,Temps,Dieta,Ingredients,Preparacio,Tags
Amanida de préssec,https://www.3cat.cat/tv3/cuines/recepta/amanida-de-pressec/44796/,1,https://img.3cat.cat/multimedia/jpg/7/0/1728472462507_326.jpg,Baixa,,,"['1 ració1 préssec de vinya4 cirerols1/2 ceba tendra1 bitxo frescVinagre de pomaCoriandre frescOli OVEPebre negreSal', '1 ració', '', '1 préssec de vinya', '4 cirerols', '1/2 ceba tendra', '1 bitxo fresc', 'Vinagre de poma', 'Coriandre fresc', 'Oli OVE', 'Pebre negre', 'Sal']","['Posem una paella a escalfar.\xa0\xa0', 'Pelem i tallem a daus un préssec de vinya.\xa0\xa0', 'Portem el préssec tallat a la paella.\xa0\xa0', 'I el marquem per totes les cares.\xa0\xa0', ""Hi posem una mica d'oli i sal.\xa0"", 'Apaguem el foc i deixem que el préssec perdi temperatura.\xa0', 'Tallem a macedònia una ceba tendra, el bulb i la cua.\xa0', 'Tallem per la meitat 4 cirerols.\xa0', 'Els reservem.\xa0\xa0', 'Tallem un bitxo fresc i li traiem membrana i llavors.\xa0', 'Posem al bol on ja hi ha la ceba, el tomàquet i el bitxo, els préssecs marcats. Hi posem unes fulles de coriandre picades.\xa0', 'Amanim amb pebre negre, sal i un raig vinagre de poma. Ho barregem bé.\xa0\xa0']","['Tomàquets', 'All', 'Préssec', 'Coriandre', 'Pebre negre', 'Ceba']"
Crema de moniato i carbassa,https://www.3cat.cat/tv3/cuines/recepta/crema-de-moniato-i-carbassa/44696/,1,https://img.3cat.cat/multimedia/jpg/7/5/1728461317057_326.jpg,Baixa,Més d'una hora,,"['Mitja carbassa cacauet (800 g)1 moniato90 g pernil ibèric750 ml brou de verduresSidraFarigola frescaRomaní frescCúrcumaGingebreMentaJulivertOli OVEPebre negreSal', 'Mitja carbassa cacauet (800 g)', '1 moniato', '90 g pernil ibèric', '750 ml brou de verdures', 'Sidra', 'Farigola fresca', 'Romaní fresc', 'Cúrcuma', 'Gingebre', 'Menta', 'Julivert', 'Oli OVE', 'Pebre negre', 'Sal']","['1. Rentem el moniato i la carbassa.\xa0\xa0', '2. Tallem la carbassa per la meitat.\xa0', '3. Salpebrem la carbassa.\xa0', ""4. Posem el moniato i la carbassa a la safata del forn. És important que poseu la part tallada de la carbassa a la base de la safata, perquè no s'assequi en excés ni hi hagi cap part cremada.\xa0"", ""5. Hi afegim romaní fresc, farigola, un raig generós de sidra i un altre d'oli d'oliva.\xa0"", '6. Ho fiquem al forn, uns 40-45 minuts, a 180º.\xa0', '7. Posem a escalfar el brou de verdures.\xa0', '8. Deshidratem el pernil ibèric. Estenem els trossos en una làmina de silicona i el fiquem al forn uns 20 minuts, a 150º.\xa0', '9. Pelem la carbassa i el moniato i hi afegim el gingebre ratllat.\xa0', ""10.\xa0 Afegim una cullerada de cúrcuma a l'olla.\xa0"", ""11. Afegim tots els ingredients a l'olla: moniato, carbassa, gingebre, i ho coem 5 minuts a foc mitjà.\xa0"", ""12. Triturem el contingut de l'olla i colem la crema.\xa0"", ""13. Rectifiquem de sal, si s'escau.\xa0"", '14.\xa0Piquem la menta i el julivert.\xa0', ""15. Finalment, servim la crema en un plat, hi posem el pernil cruixent, la menta, el julivert i un raig d'oli.\xa0""]","['Carbassa', 'Porc', 'Farigola', 'Pebre negre', 'Cúrcuma', 'Gingebre', 'Romaní']"
Pa amb vi i sucre especiat,https://www.3cat.cat/tv3/cuines/recepta/pa-amb-vi-i-sucre-especiat/43957/,1,https://img.3cat.cat/multimedia/jpg/7/1/1720015814617_326.jpg,Baixa,Menys de 10 minuts,Vegana,"['1 got de vi negre1 canonet de canyella1 anís estrellatSucre panelaPa', '1 got de vi negre', '1 canonet de canyella', '1 anís estrellat', 'Sucre panela', 'Pa']","[""Posem a bullir el vi amb la canyella i l'anís."", ""Quan ha perdut la fortor d'alcohol, mullem bé les llesques de pa. És una recepta d'aprofitament que se sol fer amb pa sec."", 'Escampem, per damunt del pa, sucre panela al gust.']","['Farina de blat', 'Canyella', 'Sucre panela']"
Nap amb vinagreta de magrana,https://www.3cat.cat/tv3/cuines/recepta/nap-amb-vinagreta-de-magrana/45177/,1,https://img.3cat.cat/multimedia/jpg/1/7/1729584393571_326.jpg,Baixa,Menys de 30 minuts,Vegana,"['INGREDIENTS PER A 1 PERSONA:1 nap blanc1 magranaVinagre pomaSucreMostassa antigaFarigola frescaOli OVESalPebre negreBarreja fruita secaCoriandre', 'INGREDIENTS PER A 1 PERSONA:', '1 nap blanc', '1 magrana', 'Vinagre poma', 'Sucre', 'Mostassa antiga', 'Farigola fresca', 'Oli OVE', 'Sal', 'Pebre negre', 'Barreja fruita seca', 'Coriandre']","[""Posem un nap pelat a dins d'un drap humit amb una mica de farigola fresca i l'emboliquem.\xa0"", ""El posem a dins d'un recipient de vidre, el tanquem i el posem a dins del microones. 5 minuts a 800W.\xa0"", ""Tallem pel mig una magrana. Una meitat la desgranem en un bol. De l'altra meitat en fem suc que reservem en un pot.\xa0"", ""Al pot amb el suc hi afegim 2 cullerades de vinagre de poma, 1 culleradeta de sucre, mitja de mostassa antiga i oli d'oliva.\xa0"", 'També hi afegim un grapat de fruites seques barrejades que primer maltallem. Tapem el pot amb una tapa i ho sacsegem bé per emulsionar.\xa0', 'Desemboliquem el nap i el tallem a rodelles.\xa0', ""L'emplatarem amb una mica de sal i pebre. També hi posarem per sobre la vinagreta de magrana, els grans de magrana que hem reservat i una mica de coriandre tallat.\xa0""]","['Naps', 'Fruita seca', 'Farigola', 'Coriandre']"
Lioneses de moniato amb castanya,https://www.3cat.cat/tv3/cuines/recepta/lioneses-de-moniato-amb-castanya/45336/,1,https://img.3cat.cat/multimedia/jpg/8/6/1730122216568_326.jpg,Mitjana,,,"['PER A LA PASTA CHOUX:', 'PER A LA PASTA CHOUX:', '250 ml llet', '15 g mantega', '200 g farina', '5 ous sencers', '5 g salPER A LA CREMA DE MONIATO:', 'PER A LA CREMA DE MONIATO:', '300 ml nata', '2 unitats moniato', '1 beina vainilla', 'salPER AL CRAKELIN:', 'PER AL CRAKELIN:', '180 g farina', '180 g sucre morè', '150 g mantega']","[""Posem a coure els moniatos al forn a 170 graus entre 30-50 minuts, depenent de la mida del moniato, en una safata amb una mica d'aigua tapada amb paper d'alumini."", 'Un cop cuits els moniatos, preparem la crema amb la nata, la beina de vainilla i la sal, i la triturem amb els moniatos cuits.', 'Després preparem la pasta choux, la massa de la lionesa, posant en un cassó la llet, la mantega i la sal a bullir. Sense sucre.', 'Quan bull, la retirem del foc i hi afegim de cop la farina, formant una massa en forma de bola. La passem a la màquina, deixem que perdi temperatura i afegim els ous un per un.', ""Per fer el crackelin, la massa cruixent de la lionesa, barregem tots els ingredients i un cop feta la massa l'estirem entre dos papers de forn, la tallem i cobrim les lioneses que tenim preparades per coure."", 'Les posem al forn a 175 graus durant uns 20-30 minuts, depenent de la mida.', 'Quan traiem les lioneses del forn, un cop fredes, les foradem i les omplim amb una màniga pastissera amb la crema de moniato, també freda.', 'Reservem a la nevera.', 'Abans de servir les lioneses, les muntem amb un cremós de xocolata blanca i acompanyem amb castanyes confitades i alguna decoració de Halloween.']","['Ous', 'Altres tubercles', 'Mantega', 'Llet', 'Sucre']"
Carpaccio de peus de porc amb rostes,https://www.3cat.cat/tv3/cuines/recepta/carpaccio-de-peus-de-porc-amb-rostes/44936/,1,https://img.3cat.cat/multimedia/jpg/5/4/1728904882545_326.jpg,Baixa,,Sense gluten,"[""4 peus de porc sencers70 cl de vi ranci2 bulbs de fonoll1 xirivia1 gra d'all escalivat2 tomàquets pera20 g de pinyons torratsMostassa Dijon1 bitxo de caienaSichimi togarashiPebre verdFarigola llimoneraLlorerRostesOli OVEPebre negreSal"", '4 peus de porc sencers', '70 cl de vi ranci', '2 bulbs de fonoll', '1 xirivia', ""1 gra d'all escalivat"", '2 tomàquets pera', '20 g de pinyons torrats', 'Mostassa Dijon', '1 bitxo de caiena', 'Sichimi togarashi', 'Pebre verd', 'Farigola llimonera', 'Llorer', 'Rostes', 'Oli OVE', 'Pebre negre', 'Sal']","[""Fem un bany de sal de dues hores a quatre peus de porc: els submergim en una solució d'aigua amb sal del 10%. \xa0"", 'Passat aquest temps, els traiem de la salmorra i els eixuguem. \xa0', ""Posem els peus blanquejats a l'olla de pressió i hi afegim dos bulbs de fonoll nets i tallats per la meitat, una xirivia, una fulla de llorer, una branca de farigola llimonera, uns quants grans de pebre verd en salmorra i 70 cl de vi ranci."", 'Ho cobrim tot amb aigua mineral.', ""Tapem l'olla i, quan xiuli, abaixem el foc al mínim i ho deixem coure 50 minuts. Després d'aquest temps, apartem l'olla del foc i deixem que reposi dues hores sense obrir-la. \xa0"", 'Desossem els peus de porc mentre encara estiguin calents, però ja no cremin.', 'Colem el líquid de la cocció i el posem en una altra olla perquè bulli. El deixem reduir a 1/3 del que tenim.', ""Posem els peus de porc desossats a sobre d'un full de film. Ho tapem i ho enrotllem fent un rul·lo ben pres. \xa0"", ""Posem els peus embolicats a dins d'un recipient amb tapa i el fiquem a la nevera, dues hores com a mínim."", 'Posem una olla a escalfar amb aigua.', ""Posem una paella a escalfar amb un raig d'oli OVE."", ""Posem un gra d'all escalivat a la paella, un bitxo de caiena, una mica de Sichimi togarashi --espècies japoneses-- i unes quantes boletes de pebre negre. Amb tot això, fem un refregit. Quan estigui ben integrat --al cap d'uns minuts--, apaguem el foc."", ""Bufem amb un bufador dos tomàquets pera per treure'n la pela."", 'Els pelem i triturem, i els posem en un bol.', 'Colem directament el refregit a sobre del bol dels tomàquets.', 'Recuperem el brou reduït a 1/3.', 'Afegim una culleradeta de mostassa de Dijon al brou.', 'Ho integrem. \xa0', 'Recuperem els peus de la nevera. \xa0', 'Els desemboliquem i els tallem ben fins.', ""Per fer-ho, passem un ganivet esmolat per l'aigua bullent que tenim escalfant-se a l'olla i després l'eixuguem. Amb la fulla calenta, els podrem tallar més bé. \xa0"", 'Posem el plat de la presentació al forn per escalfar-lo una mica. \xa0', 'Emplatem --amb el plat calent-- les rodelles de carpaccio i hi posem unes quantes rostes, la salsa picant, la salsa reduïda, uns quants pinyons torrats i una mica de farigola llimonera.']","['Tomàquets', 'All', 'Xirivia', 'Fonoll', 'Porc', 'Farigola', 'Llorer', 'Bitxo', 'Pebre blanc']"
Granola salada,https://www.3cat.cat/tv3/cuines/recepta/granola-salada/44776/,1,https://img.3cat.cat/multimedia/jpg/6/0/1728470668406_326.jpg,Baixa,Menys de 30 minuts,Per a esportistes,"[""1 ració160 g de barreja de llavors40 g d'olives verdes sense pinyol1 ou1 iogurt grec1 cogombreCúrcuma en polsMenta frescaOli OVE"", '1 ració', '', '160 g de barreja de llavors', ""40 g d'olives verdes sense pinyol"", '1 ou', '1 iogurt grec', '1 cogombre', 'Cúrcuma en pols', 'Menta fresca', 'Oli OVE']","[""Tallem a rodelles 40 g d'olives verdes sense pinyol i les guardem en un bol.\xa0"", ""Separem un rovell d'ou de la clara.\xa0\xa0"", 'Posem la clara al bol de les olives i guardem el rovell per a alguna altra preparació.\xa0\xa0', ""Al bol de la clara afegim 160 g de barreja de llavors, una culleradeta de cúrcuma en pols i una culleradeta d'oli OVE.\xa0"", ""Aboquem la barreja a la safata de la fregidora d'aire, protegida amb el paper apte per a fregidora d'aire.\xa0"", 'Ho coem a 180 graus; al cap de cinc minuts ho remenem i ho coem cinc minuts més.\xa0', 'Aboquem la granola a un bol i deixem que baixi de temperatura.\xa0', 'Tallem ben fi un cogombre net i sense pelar.\xa0', 'Posem un iogurt grec en un bol i hi anem posant la granola. Ho servim amb unes\xa0làmines de cogombre en un costat i una mica de menta fresca.\xa0']","['Ous', 'Herbes, espècies, llavors i condiments', 'Cogombre', 'Iogurt', 'Cúrcuma']"
Mongetes d'esgranar amb cloïsses,https://www.3cat.cat/tv3/cuines/recepta/mongetes-desgranar-amb-cloisses/44019/,1,https://img.3cat.cat/multimedia/jpg/4/5/1720684252354_326.jpg,Baixa,Menys de 30 minuts,,"[""150 g de mongetes d'esgranar cuites100 g de cloïsses1 ceba tendra1 gra d'all1 bitxo secPasta de nyoraJulivertCavaOliPebre NegreSal"", ""150 g de mongetes d'esgranar cuites"", '100 g de cloïsses', '1 ceba tendra', ""1 gra d'all"", '1 bitxo sec', 'Pasta de nyora', 'Julivert', 'Cava', 'Oli', 'Pebre Negre', 'Sal']","[""Comencem escalfant una paella amb un bon raig d'oli."", 'Mentre escalfem la paella, tallem la part verda de la ceba tendra i la reservem al plat.\xa0La part blanca la tallem a la brunesa.', 'Quan la paella estigui calenta, afegim la ceba tallada a la brunesa i també un bitxo sec al qual traurem les llavors. Ho tapem i deixem que sofregeixi a foc mitjà durant deu minuts.', ""Passats els deu minuts, destapem la paella i hi ratllem un gra d'all. Hi afegim 1 cullerada de pasta de nyora i ho integrem."", ""Ara aixequem els sucres i hi aboquem un raig de cava, fins a evaporar l'alcohol."", ""Aboquem a la paella 150 g de mongetes d'esgranar cuites."", 'Mentre va agafant temperatura, agafem julivert i el piquem. Un cop picat, el reservem.', ""Afegim a la paella 100 g de cloïsses i, mentre s'obren, tallem a rodelles la part de la ceba reservada i la guardem en un platet."", ""Un cop les cloïsses s'hagin obert, ho remenem suaument i afegim a la paella el julivert picat i les rodelles de ceba. Ho integrem i apaguem el foc."", 'Finalment, emplatem en un plat fondo les mongetes, les cloïsses i el suc.']","['All', 'Mongetes', 'Cloïsses', 'Julivert', 'Pebre negre', 'Bitxo', 'Ceba', 'Oli', 'Nyores']"
Verat amb ajoblanco de poma,https://www.3cat.cat/tv3/cuines/recepta/verat-amb-ajoblanco-de-poma/44516/,1,https://img.3cat.cat/multimedia/jpg/3/3/1728462331633_326.jpg,Baixa,Més d'una hora,,"[""4 verats250 g sal fina250 g sal grossa500 g sucre100 g ametlla natural1 llimona1 llesca pa4 grans d'all1 poma granny smith12 làmines pernil d'enceball ibèricVinagre xerèsOli OVESalPebreFarigola llimonera"", '4 verats', '250 g sal fina', '250 g sal grossa', '500 g sucre', '100 g ametlla natural', '1 llimona', '1 llesca pa', ""4 grans d'all"", '1 poma granny smith', ""12 làmines pernil d'enceball ibèric"", 'Vinagre xerès', 'Oli OVE', 'Sal', 'Pebre', 'Farigola llimonera']","[""1. Preparem la barreja del curat. En un bol posem el sucre, la sal grossa, la sal fina i la pela ratllada d'una llimona. Ho barregem tot."", '2. Traiem la fàscia del verat filetejat i el col·loquem en un recipient.', '3. Cobrim el peix amb la barreja del curat. És important que tot el verat quedi ben cobert.', '4. El deixem a la nevera 30 minuts.', ""5. Passat aquest temps, netejarem el peix amb aigua, l'eixugarem i el congelarem 72 hores protegit amb paper sulfurat. D'aquesta manera ens desfem dels possibles paràsits que pugui tenir el peix."", '6. El dia del cuinat, hauríem de preveure descongelar el peix a la nevera durant la nit abans.', ""7. Per preparar l'ajoblanco de poma, posem en remull les ametlles en 150 ml aigua, durant 12 hores."", '8. En un plat posem una llesca de pa i hi tirem un raig de vinagre de xerès. Ho deixem amarant.', ""9. Pelem quatre grans d'all i en traiem els germinats. D'aquesta manera evitarem que el gust de l'all ens torni."", ""10. Procedim a escaldar els alls. En un cassó hi posem els alls i els cobrim d'aigua. Quan l'aigua comenci a bullir, els deixem uns 10 segons i els retirem. Aquesta aigua la descartem i tornem a fer la mateixa operació un total de 3 vegades."", ""11. En un got batedor, hi posem els alls escaldats, la llesca amarada amb vinagre, l'ametlla remullada amb l'aigua, i sal."", ""12. Pelem i tallem la poma i l'afegim al got batedor."", '13. Hi posem oli i ho turbinem.', '14. En una plata, hi posem unes làmines de pernil ibèric perquè respiri.', '15. Agafem el verat descongelat de la nevera i el tallem a trossos.', ""16. Per emplatar, posem l'ajoblanco de poma, el filet de verat, 2 làmines de pernil ibèric, un raig d'oli i farigola llimonera.""]","['All', 'Pomes', 'Verat', ""Oli d'oliva verge extra"", 'Ametlles']"
Galta amb bolets,https://www.3cat.cat/tv3/cuines/recepta/galta-amb-bolets/45176/,1,https://img.3cat.cat/multimedia/jpg/3/4/1729583880943_326.jpg,Mitjana,Més d'una hora,,"[""INGREDIENTS PER A 4 PERSONES:300 g de rossinyols100 g de xampinyons100 g de pinyons torrats20 g de xocolata1 l de brou de porc4 galtes de porc2 pastanagues2 porros1 cabeça d'allsLlorerPebreVi ranciVi negre joveBrins de safràConyacSalOliJulivert"", 'INGREDIENTS PER A 4 PERSONES:', '300 g de rossinyols', '100 g de xampinyons', '100 g de pinyons torrats', '20 g de xocolata', '1 l de brou de porc', '4 galtes de porc', '2 pastanagues', '2 porros', ""1 cabeça d'alls"", 'Llorer', 'Pebre', 'Vi ranci', 'Vi negre jove', 'Brins de safrà', 'Conyac', 'Sal', 'Oli', 'Julivert']","[""Fem un bany de sal a 4 galtes de porc. Les tindrem amb 100 g de sal per litre d'aigua durant dues hores. Un cop passat el temps, les eixugarem amb un drap.\xa0"", ""Marquem les galtes eixutes a dins d'una olla a pressió amb oli. Les pebrem.\xa0"", ""Traiem les galtes de l'olla i allà mateix hi posem 2 porros tallats a bresa, 2 pastanagues tallades a bresa i 100 g de xampinyons també tallats amb una mica d'oli. També hi afegim 1 cabeça d'alls tallada pel mig. Els deixem suar 10 minuts. Un cop passat aquest temps, apugem el foc i enrossim els vegetals.\xa0"", ""Aboquem a l'olla un raig de vi ranci, un raig de vi negre jove i un raig de conyac. Deixem que s'evapori l'alcohol.\xa0"", ""Aboquem a l'olla a pressió 1 litre de brou de porc que ja haurem escalfat, les galtes reservades i unes fulles de llorer. Tapem i ho deixarem coure 30 minuts a foc baix. Després deixarem reposar les galtes unes sis hores.\xa0"", ""Colem el suc de l'olla i el reduïm al foc uns 20 minuts. Les galtes les tenim reservades.\xa0"", 'Fem la picada amb sal, 100 g de pinyons torrats, uns brins de safrà, julivert i pebre.\xa0', ""En una cassola al foc saltem 300 g de rossinyols amb un raig d'oli.\xa0"", 'Afegim a la cassola les galtes reservades i el suc reduït. Ho integrem.\xa0\xa0', 'Hi afegim la picada i 20 g de xocolata. Ho lliguem tot i ho courem 5 minuts més perquè espesseixi.\xa0', 'Ho emplatarem amb una mica de julivert per sobre.\xa0']","['All', 'Porro', 'Pastanagues', 'Xampinyons', 'Bolets', 'Porc', 'Xocolata']"
